Date,Price,Open,High,Low,Change %
2010-09-08,110.19,110.14,110.22,110.03,0.03%
2010-09-09,110.16,110.14,110.3,110.05,0.00%
2010-09-10,110.16,109.89,110.19,109.86,0.25%
2010-09-13,109.89,110,110.03,109.78,-0.08%
2010-09-14,109.98,109.94,110.22,109.86,0.04%
2010-09-15,109.94,109.49,109.95,109.45,0.43%
2010-09-16,109.47,109.52,109.7,109.44,-0.05%
2010-09-17,109.52,109.12,109.58,109.01,0.35%
2010-09-20,109.14,108.42,109.25,107.64,0.65%
2010-09-21,108.44,108.38,108.64,108.27,0.06%
2010-09-22,108.38,108,108.52,107.77,0.27%
2010-09-23,108.09,108.56,108.64,107.83,-0.45%
2010-09-24,108.58,108.75,108.86,108.2,-0.11%
2010-09-27,108.7,108.61,108.75,108.59,0.07%
2010-09-28,108.62,108.89,108.89,108.47,-0.24%
2010-09-29,108.88,109.47,109.52,108.75,-0.49%
2010-09-30,109.42,109.61,109.64,109.39,-0.20%
2010-10-01,109.64,109.34,109.69,109.32,0.26%
2010-10-04,109.36,109.39,109.42,109.27,-0.03%
2010-10-05,109.39,109.39,109.44,109.31,0.00%
2010-10-06,109.39,109.41,109.53,109.33,-0.05%
2010-10-07,109.44,109.36,109.53,109.25,0.05%
2010-10-08,109.38,109.55,109.67,109.17,-0.14%
2010-10-11,109.53,109.5,109.62,109.39,0.05%
2010-10-12,109.48,109.53,109.64,109.44,-0.02%
2010-10-13,109.5,109.39,109.69,109.25,0.11%
2010-10-14,109.38,109.31,109.72,108.92,0.06%
2010-10-15,109.31,108.57,109.46,108.46,0.69%
2010-10-18,108.56,108.72,108.86,108.47,-0.14%
2010-10-19,108.71,108.56,108.77,108.51,0.14%
2010-10-20,108.56,108.68,108.68,108.42,-0.05%
2010-10-21,108.61,108.77,108.92,108.53,-0.14%
2010-10-22,108.76,108.86,109,108.65,-0.09%
2010-10-25,108.86,108.64,108.97,108.42,0.20%
2010-10-26,108.64,108.97,109.22,108.48,-0.33%
2010-10-27,109,109.53,109.73,108.92,-0.47%
2010-10-28,109.52,109.5,109.67,109.39,0.00%
2010-10-29,109.52,109.55,109.58,109.33,-0.04%
2010-11-01,109.56,109.03,109.61,109,0.47%
2010-11-02,109.05,108.92,109.2,108.88,0.12%
2010-11-03,108.92,108.72,108.98,108.64,0.24%
2010-11-04,108.66,108.64,108.73,108.47,0.02%
2010-11-05,108.64,108.61,108.7,108.28,0.03%
2010-11-08,108.61,108.55,108.75,108.34,0.06%
2010-11-09,108.55,108.67,108.86,108.45,-0.11%
2010-11-10,108.67,108.83,109.08,108.52,-0.07%
2010-11-11,108.75,108.41,108.86,108.38,0.31%
2010-11-12,108.41,108.83,108.88,108.25,-0.39%
2010-11-15,108.83,109,109.16,108.66,-0.17%
2010-11-16,109.02,109.06,109.31,108.92,-0.04%
2010-11-17,109.06,109.2,109.27,108.89,-0.20%
2010-11-18,109.28,109.28,109.48,109.08,0.00%
2010-11-19,109.28,108.97,109.5,108.66,0.28%
2010-11-22,108.97,109.17,109.19,108.81,-0.17%
2010-11-23,109.16,108.58,109.25,108.55,0.53%
2010-11-24,108.58,108.19,108.66,108.17,0.36%
2010-11-25,108.19,108.06,108.33,107.89,0.15%
2010-11-26,108.03,108.83,108.91,107.92,-0.74%
2010-11-29,108.84,108.89,109.3,108.72,-0.05%
2010-11-30,108.89,108.95,109.08,108.77,-0.06%
2010-12-01,108.95,108.67,109.05,108.66,0.27%
2010-12-02,108.66,108.63,108.79,108.51,0.05%
2010-12-03,108.61,108.67,108.75,108.48,-0.07%
